date,validators,entry_queue_eth,entry_wait_days,exit_queue_eth,exit_wait_days,staked_eth,staked_pct,apr
2023-05-21,578767,2002464,31.58,0,0,18511588,15.39,
2023-05-22,580348,2087200,32.79,0,0,18561604,15.43,
2023-05-23,581952,2128352,33.33,0,0,18612932,15.48,
2023-05-24,583258,2261728,35.31,0,0,18655108,15.51,
2023-05-25,584817,2303904,35.79,0,0,18705668,15.55,
2023-05-26,586492,2316224,35.78,0,0,18759782,15.6,
2023-05-27,588064,2363936,36.26,0,0,18808614,15.64,
2023-05-28,589757,2450720,37.28,0,0,18862982,15.69,
2023-05-29,591578,2449504,37.17,32,0,18919830,15.73,
2023-05-30,592838,2428192,36.81,32,0,18957542,15.76,
2023-05-31,594357,2424448,36.69,160,0,19021462,15.82,
2023-06-01,595761,2466816,37.2,0,0,19059606,15.85,
2023-06-02,597299,2492320,37.48,0,0,19112374,15.89,
2023-06-03,598725,2885120,42.87,32,0,19158006,15.93,5.06
2023-06-04,600757,3005600,44.44,0,0,19163320,15.94,5.2
2023-06-05,602770,2987872,44.1,0,0,19216600,15.98,5.16
2023-06-06,604673,2946560,43.43,480,0.01,19256824,16.01,5.03
2023-06-07,605661,3009760,44.26,11584,0.18,19314744,16.06,5
2023-06-08,606269,3026016,44.45,320,0,19289592,16.04,4.91
2023-06-09,606947,3075456,45.11,10528,0.16,19246776,16.01,4.82
2023-06-10,608224,3088256,45.22,1696,0.03,19417464,16.15,4.78
2023-06-11,609801,3061536,44.77,0,0,19441947,16.17,4.79
2023-06-12,611565,3023680,44.16,1792,0.03,19501112,16.22,4.75
2023-06-13,612494,3006336,43.87,89920,1.39,19416792,16.15,4.71
2023-06-14,612494,2991584,43.67,35136,0.54,19496638,16.21,4.63
2023-06-15,612919,3007104,43.86,1120,0.02,19430430,16.16,4.6
2023-06-16,614710,2970176,43.26,64,0,18721659,15.57,4.57
2023-06-17,616508,2994176,43.5,1472,0.02,19489339,16.21,4.55
2023-06-18,618146,2958880,42.93,0,0,19722043,16.4,4.53
2023-06-19,620091,2922752,42.34,512,0.01,19782843,16.45,4.57
2023-06-20,621744,2888608,41.78,1728,0.03,19573659,16.28,4.57
2023-06-21,623467,2894304,41.77,64,0,19863963,16.52,4.59
2023-06-22,624804,2894048,41.7,32,0,19935803,16.58,4.61
2023-06-23,626511,2917632,41.95,0,0,19993566,16.63,4.62
2023-06-24,628339,3005920,43.03,0,0,19931870,16.58,4.63
2023-06-25,630350,2984096,42.57,0,0,20117822,16.73,4.59
2023-06-26,632124,2960160,42.11,0,0,20173630,16.78,4.54
2023-06-27,633995,2941344,41.7,0,0,20209631,16.81,4.52
2023-06-28,636071,3000032,42.26,32,0,20007999,16.64,4.5
2023-06-29,637861,2984448,41.9,0,0,20276928,16.86,4.56
2023-06-30,639732,2965568,41.5,0,0,20378015,16.95,4.57
2023-07-01,641605,2919584,40.75,0,0,20453919,17.01,4.63
2023-07-02,643504,2936480,40.79,0,0,20535648,17.08,4.67
2023-07-03,645338,2901984,40.19,1632,0.03,20574336,17.11,4.69
2023-07-04,647047,2864576,39.56,0,0,20634464,17.16,4.73
2023-07-05,648531,2841472,39.14,32,0,20682496,17.2,4.75
2023-07-06,650165,2801728,38.49,0,0,20738848,17.25,4.67
2023-07-07,652143,2776896,38,0,0,20809568,17.31,4.65
2023-07-08,653635,2773248,37.82,2912,0.04,20846464,17.34,4.63
2023-07-09,654340,2762208,37.62,256,0,20859936,17.35,4.63
2023-07-10,656416,2714976,36.89,256,0,20896608,17.38,4.64
2023-07-11,657997,2658976,36.11,576,0.01,20977120,17.45,4.65
2023-07-12,660179,2632640,35.69,0,0,21051072,17.51,4.68
2023-07-13,662264,2611776,35.35,0,0,21139072,17.58,4.69
2023-07-14,664357,2638368,35.6,0,0,20746240,17.26,4.68
2023-07-15,666395,2704576,36.35,0,0,21205408,17.64,4.66
2023-07-16,668533,2705728,36.28,0,0,21068736,17.52,4.6
2023-07-17,670595,2659360,35.61,480,0.01,21276928,17.7,4.59
2023-07-18,672664,2617504,35,0,0,21466016,17.85,4.61
2023-07-19,674570,2588224,34.55,32,0,21534432,17.91,4.58
2023-07-20,676594,2634432,35.05,0,0,21557120,17.93,4.6
2023-07-21,678560,2653920,35.22,0,0,21642368,18,4.63
2023-07-22,680663,2663712,35.26,0,0,21710432,18.06,4.63
2023-07-23,682781,2627712,34.72,1312,0.02,21780544,18.12,4.68
